query,cluster,intent,target_slug,priority,notes
book umrah taxi jeddah,Airport transfers,Commercial,/booking/,P1,
book umrah taxi madinah,Booking,Transactional,/booking/,P1,
book umrah taxi makkah,Booking,Transactional,/booking/,P1,
book umrah taxi online,Booking,Transactional,/booking/,P1,
book umrah taxi riyadh,Booking,Transactional,/booking/,P1,
book umrah taxi taif,Intercity routes,Commercial,/booking/,P1,
flight delay policy airport transfer,Airport transfers,Commercial,/how-airport-pickup-works/,P1,
hajj taxi service makkah,General,Mixed,/hajj-taxi-service/,P4,
how does airport pickup work in jeddah,Airport transfers,Commercial,/how-airport-pickup-works/,P1,
jeddah airport to madinah private taxi,Airport transfers,Commercial,/jeddah-airport-to-madinah-taxi/,P2,
jeddah airport to madinah taxi,Airport transfers,Commercial,/jeddah-airport-to-madinah-taxi/,P2,
jeddah airport to madinah taxi booking,Airport transfers,Commercial,/booking/,P1,
jeddah airport to madinah taxi fare,Airport transfers,Commercial,/pricing/,P1,
jeddah airport to madinah taxi price,Airport transfers,Commercial,/pricing/,P1,
jeddah airport to makkah private taxi,Airport transfers,Commercial,/jeddah-airport-to-makkah-taxi/,P2,
jeddah airport to makkah taxi,Airport transfers,Commercial,/jeddah-airport-to-makkah-taxi/,P2,
jeddah airport to makkah taxi booking,Airport transfers,Commercial,/booking/,P1,
jeddah airport to makkah taxi fare,Airport transfers,Commercial,/pricing/,P1,
jeddah airport to makkah taxi price,Airport transfers,Commercial,/pricing/,P1,
jeddah to makkah taxi fare,Airport transfers,Commercial,/pricing/,P1,
madinah airport to makkah private taxi,Airport transfers,Commercial,/madinah-airport-to-makkah-taxi/,P2,
madinah airport to makkah taxi,Airport transfers,Commercial,/madinah-airport-to-makkah-taxi/,P2,
madinah airport to makkah taxi booking,Airport transfers,Commercial,/booking/,P1,
madinah airport to makkah taxi fare,Airport transfers,Commercial,/pricing/,P1,
madinah airport to makkah taxi price,Airport transfers,Commercial,/pricing/,P1,
madinah ziyarat taxi,Ziyarat tours,Commercial,/madinah-ziyarat-taxi/,P3,
makkah to jeddah private taxi,Airport transfers,Commercial,/makkah-to-jeddah-taxi/,P2,
makkah to jeddah taxi,Airport transfers,Commercial,/makkah-to-jeddah-taxi/,P2,
makkah to jeddah taxi booking,Airport transfers,Commercial,/booking/,P1,
makkah to jeddah taxi fare,Airport transfers,Commercial,/pricing/,P1,
makkah to jeddah taxi price,Airport transfers,Commercial,/pricing/,P1,
makkah to madinah private taxi,Intercity routes,Commercial,/makkah-to-madinah-taxi/,P2,
makkah to madinah taxi,Intercity routes,Commercial,/makkah-to-madinah-taxi/,P2,
makkah to madinah taxi booking,Intercity routes,Commercial,/booking/,P1,
makkah to madinah taxi cost,Intercity routes,Commercial,/pricing/,P1,
makkah to madinah taxi fare,Intercity routes,Commercial,/pricing/,P1,
makkah to madinah taxi price,Intercity routes,Commercial,/pricing/,P1,
makkah to taif private taxi,Intercity routes,Commercial,/makkah-to-taif-taxi/,P4,
makkah to taif taxi,Intercity routes,Commercial,/makkah-to-taif-taxi/,P4,
makkah to taif taxi booking,Intercity routes,Commercial,/booking/,P1,
makkah to taif taxi fare,Intercity routes,Commercial,/pricing/,P1,
makkah to taif taxi price,Intercity routes,Commercial,/pricing/,P1,
makkah ziyarat taxi,Ziyarat tours,Commercial,/makkah-ziyarat-taxi/,P3,
online umrah taxi,General,Mixed,/online-umrah-taxi/,P1,
private driver umrah taxi,General,Mixed,/online-umrah-taxi/,P1,
riyadh to madinah private taxi,Intercity routes,Commercial,/riyadh-to-madinah-taxi/,P4,
riyadh to madinah taxi,Intercity routes,Commercial,/riyadh-to-madinah-taxi/,P4,
riyadh to madinah taxi booking,Intercity routes,Commercial,/booking/,P1,
riyadh to madinah taxi fare,Intercity routes,Commercial,/pricing/,P1,
riyadh to madinah taxi price,Intercity routes,Commercial,/pricing/,P1,
riyadh to makkah private taxi,Intercity routes,Commercial,/riyadh-to-makkah-taxi/,P4,
riyadh to makkah taxi,Intercity routes,Commercial,/riyadh-to-makkah-taxi/,P4,
riyadh to makkah taxi booking,Intercity routes,Commercial,/booking/,P1,
riyadh to makkah taxi fare,Intercity routes,Commercial,/pricing/,P1,
riyadh to makkah taxi price,Intercity routes,Commercial,/pricing/,P1,
safe taxi service for women in saudi,Logistics & trust,Informational,/online-umrah-taxi/,P1,
taif tour from makkah taxi,Intercity routes,Commercial,/online-umrah-taxi/,P1,
taxi for pilgrims in jeddah,Airport transfers,Commercial,/online-umrah-taxi/,P1,
taxi for pilgrims in madinah,General,Mixed,/online-umrah-taxi/,P1,
taxi for pilgrims in makkah,General,Mixed,/online-umrah-taxi/,P1,
taxi for pilgrims in riyadh,General,Mixed,/online-umrah-taxi/,P1,
taxi for pilgrims in taif,Intercity routes,Commercial,/online-umrah-taxi/,P1,
taxi for umrah pilgrims with luggage,Logistics & trust,Informational,/online-umrah-taxi/,P1,
taxi service for pilgrims makkah,General,Mixed,/online-umrah-taxi/,P1,
traveling with elderly umrah transport,Logistics & trust,Informational,/online-umrah-taxi/,P1,
umrah taxi booking whatsapp,Booking,Transactional,/booking/,P1,
umrah taxi jeddah,Airport transfers,Commercial,/umrah-taxi-jeddah/,P3,
umrah taxi madinah,City pages,Local commercial,/umrah-taxi-madinah/,P3,
umrah taxi makkah,City pages,Local commercial,/umrah-taxi-makkah/,P3,
umrah taxi price,Pricing,Commercial,/pricing/,P1,
umrah taxi riyadh,City pages,Local commercial,/umrah-taxi-riyadh/,P4,
umrah taxi service jeddah,Airport transfers,Commercial,/online-umrah-taxi/,P1,
umrah taxi service madinah,General,Mixed,/online-umrah-taxi/,P1,
umrah taxi service makkah,General,Mixed,/online-umrah-taxi/,P1,
umrah taxi service riyadh,General,Mixed,/online-umrah-taxi/,P1,
umrah taxi service taif,Intercity routes,Commercial,/online-umrah-taxi/,P1,
umrah taxi taif,Intercity routes,Commercial,/umrah-taxi-taif/,P4,
umrah transport packages,Pricing,Commercial,/pricing/,P1,
van taxi price for umrah,Pricing,Commercial,/pricing/,P1,
